STNAME,CTYNAME,PCNT_BLACK,Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2,x,y
Pennsylvania,Delaware,0.24173396594953303,Metro Container Corporation,50.0,PAD044545895,300939.0,3.0,Pennsylvania,Trainer,Delaware,NPL Site,39.824981,-75.399047,09/16/2011,03/15/2012,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900039"" target=""_blank"">PAD044545895 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300939"" target=""_blank"">Metro Container Corporation</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-09-16/pdf/2011-23651.pdf"" target=""_blank"">09/16/2011 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6329.pdf"" target=""_blank"">03/15/2012 (PDF)</a>",,,,No,,,,,1132.0,-8393383.518338101,4840541.4951977385
Pennsylvania,Delaware,0.24173396594953303,Lansdowne Radiation Site,0.0,PAD980830921,301596.0,3.0,Pennsylvania,Lansdowne,Delaware,Deleted NPL Site,39.9413,-75.2671,04/10/1985,09/16/1985,02/28/1991,53.0,03/18/1991,09/10/1991,"<a href=""https://semspub.epa.gov/src/document/03/900344"" target=""_blank"">PAD980830921 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301596"" target=""_blank"">Lansdowne Radiation Site</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900404"" target=""_blank"">09/16/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/03/900061"" target=""_blank"">03/18/1991 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189624"" target=""_blank"">09/10/1991 (PDF)</a>",,No,,,,,1772.0,-8378695.245486401,4857415.818408607
Pennsylvania,Delaware,0.24173396594953303,Austin Avenue Radiation Site,0.0,PAD987341716,304433.0,3.0,Pennsylvania,Delaware County,Delaware,Deleted NPL Site,39.943056,-75.261944,02/07/1992,10/14/1992,09/27/1999,650.0,02/19/2002,04/18/2002,"<a href=""https://semspub.epa.gov/src/document/03/900208"" target=""_blank"">PAD987341716 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304433"" target=""_blank"">Austin Avenue Radiation Site</a>","<a href=""https://semspub.epa.gov/src/document/11/189653"" target=""_blank"">02/07/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189625"" target=""_blank"">10/14/1992 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-02-19/pdf/02-3655.pdf"" target=""_blank"">02/19/2002 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-04-18/pdf/02-9216.pdf"" target=""_blank"">04/18/2002 (PDF)</a>",,No,,,,,1109.0,-8378121.282191873,4857670.77977007
Pennsylvania,Delaware,0.24173396594953303,East Tenth Street,67.68,PAD987323458,304250.0,3.0,Pennsylvania,Marcus Hook,Delaware,Proposed NPL Site,39.819443,-75.412222,01/18/1994,,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900219"" target=""_blank"">PAD987323458 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304250"" target=""_blank"">East Tenth Street</a>","<a href=""https://semspub.epa.gov/src/document/11/189657"" target=""_blank"">01/18/1994 (PDF)</a>",,,,,No,,,,,1112.0,-8394850.152629303,4839738.814213913
Arkansas,Desha,0.4864888654167767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Dillon,0.4861379966534335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Dinwiddie,0.33211883408071746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,District of Columbia,0.4775763054570393,Washington Navy Yard,48.57,DC9170024310,300031.0,3.0,District of Columbia,Washington,District of Columbia,NPL Site,38.875,-76.9875,03/06/1998,07/28/1998,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900232"" target=""_blank"">DC9170024310 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300031"" target=""_blank"">Washington Navy Yard</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-03-06/pdf/98-5726.pdf"" target=""_blank"">03/06/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20154.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,,No,,,,,12.0,-8570209.297447149,4703782.178660079
Georgia,Dodge,0.31511768988109684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Dooly,0.5074682598954443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Dorchester,0.3069936421435059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Dorchester,0.2724542255035041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Dougherty,0.718904906998954,Marine Corps Logistics Base,44.65,GA7170023694,401879.0,4.0,Georgia,Albany,Dougherty,NPL Site,31.557219,-84.055,07/14/1989,11/21/1989,09/28/2011,1114.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121337"" target=""_blank"">GA7170023694 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401879"" target=""_blank"">Marine Corps Logistics Base</a>","<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,,No,,,,,732.0,-9356959.798628613,3705328.049891317
Georgia,Dougherty,0.718904906998954,T.H. Agriculture & Nutrition Co. (Albany Plant),40.93,GAD042101261,401428.0,4.0,Georgia,Albany,Dougherty,NPL Site,31.617361,-84.181661,06/24/1988,03/31/1989,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121302"" target=""_blank"">GAD042101261 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401428"" target=""_blank"">T.H. Agriculture & Nutrition Co. (Albany Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,,,,,729.0,-9371059.636651978,3713187.451422629
Georgia,Dougherty,0.718904906998954,Firestone Tire & Rubber Co. (Albany Plant),30.08,GAD990855074,401840.0,4.0,Georgia,Albany,Dougherty,NPL Site,31.565831,-84.053889,06/24/1988,10/04/1989,09/28/1998,567.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121316"" target=""_blank"">GAD990855074 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401840"" target=""_blank"">Firestone Tire & Rubber Co. (Albany Plant)</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,,,,,731.0,-9356836.12267434,3706453.161411258
Georgia,Douglas,0.5154055882413234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Douglas,0.1317039103700683,Old HWY 275 and N 288th Street,50.0,NEN000704272,704272.0,7.0,Nebraska,Valley,Douglas,NPL Site,41.329091999999996,-96.367333,09/09/2016,08/03/2017,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/11/196901"" target=""_blank"">NEN000704272 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0704272"" target=""_blank"">Old HWY 275 and N 288th Street</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21626.pdf"" target=""_blank"">09/09/2016 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2017-08-03/pdf/2017-16172.pdf"" target=""_blank"">08/03/2017 (PDF)</a>",,,,No,,,,,909.0,-10727562.438665828,5061004.513710569
Nebraska,Douglas,0.1317039103700683,Omaha Lead,50.0,NESFN0703481,703481.0,7.0,Nebraska,Omaha,Douglas,NPL Site,41.267778,-95.929722,02/26/2002,04/30/2003,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/07/30296162"" target=""_blank"">NESFN0703481 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0703481"" target=""_blank"">Omaha Lead</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-02-26/pdf/02-4403.pdf"" target=""_blank"">02/26/2002 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-04-30/pdf/03-10648.pdf"" target=""_blank"">04/30/2003 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,901.0,-10678847.804980293,5051919.452939512
Arkansas,Drew,0.2889840276634283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Duplin,0.26378509048194615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,Durham,0.38455245607923155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,Dutchess,0.13664697605177115,Sarney Farm,33.2,NYD980535165,202088.0,2.0,New York,Amenia,Dutchess,NPL Site,41.75555,-73.561389,10/15/1984,06/10/1986,09/27/2001,794.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363563"" target=""_blank"">NYD980535165 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202088"" target=""_blank"">Sarney Farm</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,,,,,1551.0,-8188816.365525915,5124432.062970356
New York,Dutchess,0.13664697605177115,Haviland Complex,33.62,NYD980785661,202284.0,2.0,New York,Town of Hyde Park,Dutchess,NPL Site,41.771111,-73.908061,10/15/1984,06/10/1986,08/01/1997,447.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363594"" target=""_blank"">NYD980785661 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202284"" target=""_blank"">Haviland Complex</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,,,,,1582.0,-8227407.716038201,5126754.4077438135
New York,Dutchess,0.13664697605177115,Hopewell Precision Area Contamination,50.0,NYD066813064,201588.0,2.0,New York,Hopewell Junction,Dutchess,NPL Site,41.6116,-73.781481,09/23/2004,04/27/2005,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363535"" target=""_blank"">NYD066813064 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201588"" target=""_blank"">Hopewell Precision Area Contamination</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2004-09-23/pdf/04-21387.pdf"" target=""_blank"">09/23/2004 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-04-27/pdf/05-8321.pdf"" target=""_blank"">04/27/2005 (PDF)</a>",,,,No,,,,,1624.0,-8213316.894893588,5102975.4045611685
New York,Dutchess,0.13664697605177115,Wappinger Creek,50.0,NYN000201758,201758.0,2.0,New York,Dutchess County,Dutchess,NPL Site,41.597684,-73.927136,04/07/2016,09/09/2016,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363681"" target=""_blank"">NYN000201758 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201758"" target=""_blank"">Wappinger Creek</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-04-07/pdf/2016-07671.pdf"" target=""_blank"">04/07/2016 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21615.pdf"" target=""_blank"">09/09/2016 (PDF)</a>",,,,No,,,,,1632.0,-8229531.1353250835,5100903.67757115
New York,Dutchess,0.13664697605177115,Jones Sanitation,52.52,NYD980534556,202045.0,2.0,New York,Hyde Park,Dutchess,Deleted NPL Site,41.795,-73.902,01/22/1987,07/22/1987,12/06/2001,807.0,07/07/2005,09/23/2005,"<a href=""https://semspub.epa.gov/src/document/02/363568"" target=""_blank"">NYD980534556 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202045"" target=""_blank"">Jones Sanitation</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-07-07/pdf/05-13347.pdf"" target=""_blank"">07/07/2005 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-09-23/pdf/05-19055.pdf"" target=""_blank"">09/23/2005 (PDF)</a>",,No,,,,,1556.0,-8226733.008604502,5130320.731132608
New York,Dutchess,0.13664697605177115,Shenandoah Road Ground Water Contamination,50.0,NYSFN0204269,204269.0,2.0,New York,East Fishkill,Dutchess,NPL Site,41.526111,-73.792222,01/11/2001,06/14/2001,09/26/2013,1154.0,,,"<a href=""https://semspub.epa.gov/src/document/02/363511"" target=""_blank"">NYSFN0204269 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204269"" target=""_blank"">Shenandoah Road Ground Water Contamination</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-01-11/pdf/01-563.pdf"" target=""_blank"">01/11/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-06-14/pdf/01-14616.pdf"" target=""_blank"">06/14/2001 (PDF)</a>",,,,No,,,,,1413.0,-8214512.577544198,5090255.386711595
Florida,Duval,0.3244932159059467,Coleman-Evans Wood Preserving Co.,46.18,FLD991279894,401202.0,4.0,Florida,Whitehouse,Duval,Deleted NPL Site,30.313889,-81.842781,12/30/1982,09/08/1983,09/18/2007,1018.0,03/27/2014,05/27/2014,"<a href=""https://semspub.epa.gov/src/document/04/11121416"" target=""_blank"">FLD991279894 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401202"" target=""_blank"">Coleman-Evans Wood Preserving Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-27/pdf/2014-06699.pdf"" target=""_blank"">03/27/2014 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-27/pdf/2014-06700.pdf"" target=""_blank"">05/27/2014 (PDF)</a>",,No,,,,,40.0,-9110696.706025403,3543961.4938774663
Florida,Duval,0.3244932159059467,Pickettville Road Landfill,42.94,FLD980556351,400859.0,4.0,Florida,Jacksonville,Duval,NPL Site,30.368610999999998,-81.738889,12/30/1982,09/08/1983,09/24/2008,1046.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121426"" target=""_blank"">FLD980556351 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400859"" target=""_blank"">Pickettville Road Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,,,,,50.0,-9099131.50148791,3551019.893691689
Florida,Duval,0.3244932159059467,Whitehouse Oil Pits,52.58,FLD980602767,400901.0,4.0,Florida,Whitehouse,Duval,Deleted NPL Site,30.3201,-81.8513,12/30/1982,09/08/1983,05/04/2006,972.0,07/17/2018,09/19/2018,"<a href=""https://semspub.epa.gov/src/document/04/11121435"" target=""_blank"">FLD980602767 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400901"" target=""_blank"">Whitehouse Oil Pits</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-07-17/pdf/2018-15242.pdf"" target=""_blank"">07/17/2018 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2018-09-19/pdf/2018-20390.pdf"" target=""_blank"">09/19/2018 (PDF)</a>",,No,,,,,59.0,-9111645.036767472,3544762.430651285
Florida,Duval,0.3244932159059467,Kerr-McGee Chemical Corp - Jacksonville,70.71,FLD039049101,400614.0,4.0,Florida,Jacksonville,Duval,NPL Site,30.3442,-81.6265,09/23/2009,03/04/2010,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121075"" target=""_blank"">FLD039049101 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400614"" target=""_blank"">Kerr-McGee Chemical Corp - Jacksonville</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-09-23/pdf/E9-22936.pdf"" target=""_blank"">09/23/2009 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2010-03-04/pdf/2010-4304.pdf"" target=""_blank"">03/04/2010 (PDF)</a>",,,,No,,,,,713.0,-9086620.415237144,3547870.7164707463
Florida,Duval,0.3244932159059467,Yellow Water Road Dump,30.26,FLD980844179,400933.0,4.0,Florida,Baldwin,Duval,Deleted NPL Site,30.2803,-81.9717,09/18/1985,06/10/1986,10/03/1996,417.0,12/23/1998,05/18/1999,"<a href=""https://semspub.epa.gov/src/document/04/11121451"" target=""_blank"">FLD980844179 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400933"" target=""_blank"">Yellow Water Road Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-12-23/pdf/98-33742.pdf"" target=""_blank"">12/23/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-18/pdf/99-12244.pdf"" target=""_blank"">05/18/1999 (PDF)</a>",,No,,,,,73.0,-9125047.903458985,3539630.918312965
Florida,Duval,0.3244932159059467,Hipps Road Landfill,31.94,FLD980709802,400908.0,4.0,Florida,Duval County,Duval,Deleted NPL Site,30.216939,-81.805561,09/08/1983,09/21/1984,09/02/1994,249.0,12/29/2011,02/27/2012,"<a href=""https://semspub.epa.gov/src/document/04/11121441"" target=""_blank"">FLD980709802 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400908"" target=""_blank"">Hipps Road Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-12-29/pdf/2011-33470.pdf"" target=""_blank"">12/29/2011 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2011-12-29/pdf/2011-33472.pdf"" target=""_blank"">02/27/2012 (PDF)</a>",,No,,,,,64.0,-9106553.39457808,3531465.919638735
Florida,Duval,0.3244932159059467,Jacksonville Naval Air Station,32.08,FL6170024412,401214.0,4.0,Florida,Jacksonville,Duval,NPL Site,30.221109999999996,-81.682777,07/14/1989,11/21/1989,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121334"" target=""_blank"">FL6170024412 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401214"" target=""_blank"">Jacksonville Naval Air Station</a>","<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,,No,,,,,86.0,-9092885.14222052,3532003.252634786
Florida,Duval,0.3244932159059467,Cecil Field Naval Air Station,31.99,FL5170022474,404743.0,4.0,Florida,Jacksonville,Duval,NPL Site,30.238609999999998,-81.902777,07/14/1989,11/21/1989,08/26/2009,1068.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121336"" target=""_blank"">FL5170022474 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404743"" target=""_blank"">Cecil Field Naval Air Station</a>","<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,87.0,-9117375.430195035,3534257.954999645
Florida,Duval,0.3244932159059467,Fairfax St. Wood Treaters,50.0,FLD000623041,410582.0,4.0,Florida,Jacksonville,Duval,Deleted NPL Site,30.354091999999998,-81.68639399999999,03/15/2012,09/18/2012,04/01/2020,1214.0,06/16/2020,08/18/2020,"<a href=""https://semspub.epa.gov/src/document/04/11121089"" target=""_blank"">FLD000623041 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410582"" target=""_blank"">Fairfax St. Wood Treaters</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-03-15/pdf/2012-6328.pdf"" target=""_blank"">03/15/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2012-09-18/pdf/2012-22851.pdf"" target=""_blank"">09/18/2012 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2020-06-16/pdf/2020-12692.pdf"" target=""_blank"">06/16/2020 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2020-08-18/pdf/2020-16375.pdf"" target=""_blank"">08/18/2020 (PDF)</a>",,No,,,,,716.0,-9093287.784818718,3549146.7538929256
Tennessee,Dyer,0.15667805915121505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Early,0.5228655544651619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,East Baton Rouge,0.4807332653121513,"Petro-Processors of Louisiana, Inc.",41.44,LAD057482713,600442.0,6.0,Louisiana,Scotlandville,East Baton Rouge,NPL Site,30.583331,-91.24333100000001,09/08/1983,09/21/1984,07/31/2003,861.0,,,"<a href=""https://semspub.epa.gov/src/document/06/300343"" target=""_blank"">LAD057482713 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600442"" target=""_blank"">Petro-Processors of Louisiana, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,,,,,534.0,-10157161.145202113,3578754.1494343006
Louisiana,East Baton Rouge,0.4807332653121513,Devil's Swamp Lake,50.0,LAD981155872,600652.0,6.0,Louisiana,Scotlandville,East Baton Rouge,Proposed NPL Site,30.561944,-91.220556,03/08/2004,,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/06/300327"" target=""_blank"">LAD981155872 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600652"" target=""_blank"">Devil's Swamp Lake</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2004-03-08/pdf/04-5109.pdf"" target=""_blank"">03/08/2004 (PDF)</a>",,,,,No,,,,,552.0,-10154625.843799297,3575988.956206426
Louisiana,East Carroll,0.6939221687800612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,East Feliciana,0.4352234125947217,Central Wood Preserving Co.,48.53,LAD008187940,604527.0,6.0,Louisiana,Slaughter,East Feliciana,Deleted NPL Site,30.758889,-91.00944399999999,01/19/1999,05/10/1999,09/08/2004,905.0,07/20/2009,09/18/2009,"<a href=""https://semspub.epa.gov/src/document/06/300300"" target=""_blank"">LAD008187940 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0604527"" target=""_blank"">Central Wood Preserving Co.</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-01-19/pdf/99-1021.pdf"" target=""_blank"">01/19/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11705.pdf"" target=""_blank"">05/10/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-07-20/pdf/E9-17172.pdf"" target=""_blank"">07/20/2009 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2009-07-20/pdf/E9-17169.pdf"" target=""_blank"">09/18/2009 (PDF)</a>",,No,,,,,546.0,-10131124.963458946,3601475.719324892
North Carolina,Edgecombe,0.5861633509480882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Edgefield,0.3597945707997065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Effingham,0.15478412342914022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Elbert,0.29795769511305614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Elmore,0.22024652440000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Emanuel,0.354676322529365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Emporia,0.6623643845866068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,Erie,0.15252170997777298,Wide Beach Development,56.58,NYD980652259,202151.0,2.0,New York,Brant,Erie,Deleted NPL Site,42.586669,-79.12861099999999,12/30/1982,09/08/1983,09/30/1992,141.0,03/31/1994,08/30/1994,"<a href=""https://semspub.epa.gov/src/document/02/363557"" target=""_blank"">NYD980652259 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202151"" target=""_blank"">Wide Beach Development</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363211"" target=""_blank"">03/31/1994 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363666"" target=""_blank"">08/30/1994 (PDF)</a>",,No,,,,,1545.0,-8808556.683699027,5249268.782007586
