STNAME,CTYNAME,PCNT_BLACK,Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2,x,y
Pennsylvania,Allegheny,0.1500536575537912,Resin Disposal,37.69,PAD063766828,301042.0,3.0,Pennsylvania,Jefferson Borough,Allegheny,Deleted NPL Site,40.2705,-79.9124,12/30/1982,09/08/1983,11/20/1996,412.0,08/22/2003,10/21/2003,"<a href=""https://semspub.epa.gov/src/document/03/900315"" target=""_blank"">PAD063766828 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301042"" target=""_blank"">Resin Disposal</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21597.pdf"" target=""_blank"">08/22/2003 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2003-08-22/pdf/03-21596.pdf"" target=""_blank"">10/21/2003 (PDF)</a>",,No,,,,,1744.0,-8895807.676068395,4905328.814999565
Pennsylvania,Allegheny,0.1500536575537912,Ohio River Park,42.24,PAD980508816,301227.0,3.0,Pennsylvania,Neville Island,Allegheny,NPL Site,40.518611,-80.1525,10/26/1989,08/30/1990,09/22/1999,647.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900199"" target=""_blank"">PAD980508816 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301227"" target=""_blank"">Ohio River Park</a>","<a href=""https://semspub.epa.gov/src/document/11/189651"" target=""_blank"">10/26/1989 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>",,,,No,,,,,1004.0,-8922535.48580786,4941594.107739407
Pennsylvania,Allegheny,0.1500536575537912,"Breslube-Penn, Inc",50.0,PAD089667695,301139.0,3.0,Pennsylvania,Coraopolis,Allegheny,NPL Site,40.501389,-80.146389,10/02/1995,06/17/1996,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900225"" target=""_blank"">PAD089667695 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301139"" target=""_blank"">Breslube-Penn, Inc</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,,No,,,,,1115.0,-8921855.212399622,4939072.520289743
Indiana,Allen,0.14226507320082574,Fort Wayne Reduction Dump,42.47,IND980679542,501799.0,5.0,Indiana,Fort Wayne,Allen,NPL Site,41.075,-85.06666899999999,10/15/1984,06/10/1986,09/27/1995,324.0,,,"<a href=""https://semspub.epa.gov/src/document/05/633483"" target=""_blank"">IND980679542 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501799"" target=""_blank"">Fort Wayne Reduction Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,441.0,-9469578.27655995,5023410.448633106
Louisiana,Allen,0.23803020252077886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,Allen,0.14906547078191712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Allendale,0.7341160220994475,Helena Chemical Co. Landfill,33.89,SCD058753971,403309.0,4.0,South Carolina,Fairfax,Allendale,NPL Site,32.9412,-81.23899999999999,06/24/1988,02/21/1990,09/13/1999,628.0,,,"<a href=""https://semspub.epa.gov/src/document/04/11121304"" target=""_blank"">SCD058753971 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403309"" target=""_blank"">Helena Chemical Co. Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,,,,,1188.0,-9043484.112554753,3887501.845077196
Virginia,Amelia,0.21506276150627615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Amherst,0.20740389178927385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Amite,0.4044075790843295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Anderson,0.17456234757452185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Anderson,0.2286308131982333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Angelina,0.16440062272963155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Anne Arundel,0.20092052607409094,Middletown Road Dump,29.36,MDD980705099,300313.0,3.0,Maryland,Annapolis,Anne Arundel,Deleted NPL Site,39.031003999999996,-76.467145,12/30/1982,09/08/1983,03/17/1986,15.0,09/03/1987,04/18/1988,"<a href=""https://semspub.epa.gov/src/document/03/900279"" target=""_blank"">MDD980705099 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300313"" target=""_blank"">Middletown Road Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/06/300085"" target=""_blank"">09/03/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189622"" target=""_blank"">04/18/1988 (PDF)</a>",,No,,,,,599.0,-8512283.643815415,4726113.603073592
Maryland,Anne Arundel,0.20092052607409094,"Mid-Atlantic Wood Preservers, Inc.",42.31,MDD064882889,300243.0,3.0,Maryland,Harmans,Anne Arundel,Deleted NPL Site,39.163610999999996,-76.69833100000001,10/15/1984,06/10/1986,09/23/1993,194.0,05/19/2000,07/18/2000,"<a href=""https://semspub.epa.gov/src/document/03/900281"" target=""_blank"">MDD064882889 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300243"" target=""_blank"">Mid-Atlantic Wood Preservers, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-19/pdf/00-12517.pdf"" target=""_blank"">05/19/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-19/pdf/00-12516.pdf"" target=""_blank"">07/18/2000 (PDF)</a>",,No,,,,,201.0,-8538019.151613949,4745134.6145892255
Maryland,Anne Arundel,0.20092052607409094,Curtis Bay Coast Guard Yard,50.0,MD4690307844,304341.0,3.0,Maryland,Anne Arundel County,Anne Arundel,NPL Site,39.2,-76.572694,09/13/2001,09/05/2002,08/26/2013,1148.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900248"" target=""_blank"">MD4690307844 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0304341"" target=""_blank"">Curtis Bay Coast Guard Yard</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-09-13/pdf/01-22742.pdf"" target=""_blank"">09/13/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2002-09-05/pdf/02-22538.pdf"" target=""_blank"">09/05/2002 (PDF)</a>",,,,No,,,,,218.0,-8524033.304749154,4750360.481116602
Maryland,Anne Arundel,0.20092052607409094,Fort George G. Meade,51.44,MD9210020567,300435.0,3.0,Maryland,Odenton,Anne Arundel,NPL Site,39.083333,-76.715278,04/01/1997,07/28/1998,,0.0,,,"<a href=""https://semspub.epa.gov/src/document/03/900229"" target=""_blank"">MD9210020567 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300435"" target=""_blank"">Fort George G. Meade</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-04-01/pdf/97-8087.pdf"" target=""_blank"">04/01/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20154.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,,"<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>",,,,,215.0,-8539905.683024423,4733615.348958399
North Carolina,Anson,0.4947230630778041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Appling,0.20727727618840422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Appomattox,0.20061592608886933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Arapahoe,0.13592957553419943,Lowry Landfill,48.36,COD980499248,800186.0,8.0,Colorado,Arapahoe County,Arapahoe,NPL Site,39.643330999999996,-104.7083,09/08/1983,09/21/1984,09/28/2006,994.0,,,"<a href=""https://semspub.epa.gov/src/document/08/100000202"" target=""_blank"">COD980499248 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800186"" target=""_blank"">Lowry Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>",,,,No,,,,,378.0,-11656074.637829324,4814246.676097774
Arkansas,Arkansas,0.2626100880704564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Ascension,0.24824650090044548,Cleve Reber,48.8,LAD980501456,600512.0,6.0,Louisiana,Sorrento,Ascension,Deleted NPL Site,30.155,-90.873339,12/30/1982,09/08/1983,12/31/1996,415.0,10/09/1997,12/30/1997,"<a href=""https://semspub.epa.gov/src/document/06/300341"" target=""_blank"">LAD980501456 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600512"" target=""_blank"">Cleve Reber</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-10-09/pdf/97-26528.pdf"" target=""_blank"">10/09/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-12-30/pdf/97-33742.pdf"" target=""_blank"">12/30/1997 (PDF)</a>",,No,,,,,532.0,-10115973.824164528,3523489.248170289
Louisiana,Ascension,0.24824650090044548,Old Inger Oil Refinery,0.0,LAD980745533,600572.0,6.0,Louisiana,Darrow,Ascension,Deleted NPL Site,30.1647,-90.9955,12/30/1982,09/08/1983,09/12/2006,980.0,06/13/2008,08/12/2008,"<a href=""https://semspub.epa.gov/src/document/06/300342"" target=""_blank"">LAD980745533 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0600572"" target=""_blank"">Old Inger Oil Refinery</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2008-06-13/pdf/E8-13364.pdf"" target=""_blank"">06/13/2008 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2008-06-13/pdf/E8-13367.pdf"" target=""_blank"">08/12/2008 (PDF)</a>",,No,,,,,533.0,-10129572.724479323,3524738.1091958536
